label;ts;cpu;temp
web;2020-10-08 21:49:48.672842;6.5;52.582
web;2020-10-08 21:49:49.674994;5.3;54.53
web;2020-10-08 21:49:50.677194;18.5;54.043
web;2020-10-08 21:49:51.679152;18.1;52.582
web;2020-10-08 21:49:52.681047;19.6;53.556
web;2020-10-08 21:49:53.682156;8.3;53.556
web;2020-10-08 21:49:54.684133;39.6;53.069
web;2020-10-08 21:49:55.685886;7.0;54.043
web;2020-10-08 21:49:56.687769;9.5;53.556
web;2020-10-08 21:49:57.689500;17.2;53.556
web;2020-10-08 21:49:58.691284;11.6;55.017
web;2020-10-08 21:49:59.693285;6.5;52.582
web;2020-10-08 21:50:00.695244;12.1;54.043
web;2020-10-08 21:50:01.697291;18.6;53.069
web;2020-10-08 21:50:02.698223;18.2;53.556
web;2020-10-08 21:50:03.700197;29.8;53.069
web;2020-10-08 21:50:04.702094;15.3;53.069
web;2020-10-08 21:50:05.703969;8.6;53.069
web;2020-10-08 21:50:06.705709;10.1;54.043
web;2020-10-08 21:50:07.707639;9.5;53.069
web;2020-10-08 21:50:08.709541;7.6;54.043
web;2020-10-08 21:50:09.711650;21.8;52.095
web;2020-10-08 21:50:10.713702;18.2;53.069
web;2020-10-08 21:50:11.715790;19.1;53.069
web;2020-10-08 21:50:12.717939;20.4;52.095
web;2020-10-08 21:50:13.719833;13.1;52.095
web;2020-10-08 21:50:14.721583;12.3;52.582
web;2020-10-08 21:50:15.723361;24.6;54.043
web;2020-10-08 21:50:16.725377;34.9;53.556
web;2020-10-08 21:50:17.727782;31.8;53.069
web;2020-10-08 21:50:18.729835;12.4;54.043
web;2020-10-08 21:50:19.732053;12.6;52.582
web;2020-10-08 21:50:20.733911;24.9;53.556
web;2020-10-08 21:50:21.737652;30.2;53.069
web;2020-10-08 21:50:22.740058;20.2;53.556
web;2020-10-08 21:50:23.741834;17.0;53.556
web;2020-10-08 21:50:24.743964;39.8;53.556
web;2020-10-08 21:50:25.745840;66.2;54.53
web;2020-10-08 21:50:26.747791;51.9;54.043
web;2020-10-08 21:50:27.749787;47.5;54.043
web;2020-10-08 21:50:28.751975;60.7;54.043
web;2020-10-08 21:50:29.753807;41.9;55.017
web;2020-10-08 21:50:30.755673;4.8;52.582
web;2020-10-08 21:50:31.757869;13.0;52.582
web;2020-10-08 21:50:32.760080;5.3;52.582
web;2020-10-08 21:50:33.762267;20.4;53.069
web;2020-10-08 21:50:34.764152;24.9;52.582
web;2020-10-08 21:50:35.765843;42.1;54.043
web;2020-10-08 21:50:36.768757;22.9;53.556
web;2020-10-08 21:50:37.771181;19.1;53.556
web;2020-10-08 21:50:38.773944;31.8;53.069
web;2020-10-08 21:50:39.775988;40.7;54.043
web;2020-10-08 21:50:40.777804;31.3;52.582
web;2020-10-08 21:50:41.779562;23.2;52.582
web;2020-10-08 21:50:42.781801;90.7;55.017
web;2020-10-08 21:50:43.784590;92.2;55.991
web;2020-10-08 21:50:44.788451;67.0;54.043
web;2020-10-08 21:50:45.790372;43.5;55.504
web;2020-10-08 21:50:46.792239;86.4;55.017
web;2020-10-08 21:50:47.793811;91.7;56.965
web;2020-10-08 21:50:48.797254;83.9;56.478
web;2020-10-08 21:50:49.799543;82.4;55.991
web;2020-10-08 21:50:50.801451;65.5;54.53
web;2020-10-08 21:50:51.803920;54.5;55.017
web;2020-10-08 21:50:52.805851;70.6;55.504
web;2020-10-08 21:50:53.808011;74.6;55.991
web;2020-10-08 21:50:54.809827;80.8;56.965
web;2020-10-08 21:50:55.811910;82.7;56.965
web;2020-10-08 21:50:56.813808;72.1;56.478
web;2020-10-08 21:50:57.815881;86.3;55.504
web;2020-10-08 21:50:58.817887;89.1;55.991
web;2020-10-08 21:50:59.820029;35.1;55.504
web;2020-10-08 21:51:00.822230;33.6;54.53
web;2020-10-08 21:51:01.824122;21.3;54.53
web;2020-10-08 21:51:02.825966;39.7;55.017
web;2020-10-08 21:51:03.828126;47.3;55.991
web;2020-10-08 21:51:04.830459;33.5;54.043
web;2020-10-08 21:51:05.832751;30.7;55.017
web;2020-10-08 21:51:06.835463;34.4;55.017
web;2020-10-08 21:51:07.837551;45.3;54.53
web;2020-10-08 21:51:08.839925;44.3;55.017
web;2020-10-08 21:51:09.841827;17.0;52.582
web;2020-10-08 21:51:10.843873;28.5;54.043
web;2020-10-08 21:51:11.846128;30.5;53.556
web;2020-10-08 21:51:12.848010;51.3;55.017
web;2020-10-08 21:51:13.849847;74.6;55.504
web;2020-10-08 21:51:14.851901;72.6;55.991
web;2020-10-08 21:51:15.853853;77.9;55.504
web;2020-10-08 21:51:16.855914;78.2;55.504
web;2020-10-08 21:51:17.857834;76.1;56.478
web;2020-10-08 21:51:18.860089;79.9;55.991
web;2020-10-08 21:51:19.861841;75.3;57.452
web;2020-10-08 21:51:20.864011;94.7;57.452
web;2020-10-08 21:51:21.865910;87.5;56.478
web;2020-10-08 21:51:22.868090;91.7;57.452
web;2020-10-08 21:51:23.870188;83.9;56.478
web;2020-10-08 21:51:24.872123;84.7;57.452
web;2020-10-08 21:51:25.873817;87.9;57.452
web;2020-10-08 21:51:26.875898;93.1;56.965
